Date,Open,High,Low,Close,Volume
2005-01-03,87.2514,87.395,86.0599,86.2035,52436400
2005-01-04,86.4619,86.5193,85.012,85.2058,63872700
2005-01-05,85.2273,85.5934,84.9043,85.1484,59818400
2005-01-06,85.012,85.5216,84.8828,85.2345,45197800
2005-01-07,85.3924,85.579,84.7895,85.2776,49581900
2005-01-10,84.9402,85.7441,84.9402,85.1986,53369100
2005-01-11,85.1555,85.2273,84.689,85.0192,58221400
2005-01-12,84.9833,85.2991,84.3516,84.933,67884700
2005-01-13,85.1555,85.2201,84.3373,84.488,50745600
2005-01-14,84.6746,85.0766,84.5239,84.9546,38285900
2005-01-18,84.7321,85.8446,84.6603,85.6795,49134600
2005-01-19,85.7226,85.7872,84.9761,85.0694,48587500
2005-01-20,84.6172,84.8397,84.1866,84.4378,67995100
2005-01-21,84.5454,84.6962,83.7918,84.0143,59168500
2005-01-24,84.043,84.2224,83.5262,83.8349,55882400
2005-01-25,83.9138,84.3158,83.7774,83.9425,63925100
2005-01-26,84.2081,84.4091,84.0071,84.3014,52810700
2005-01-27,84.1148,84.5167,83.9641,84.2583,49677000
2005-01-28,84.3301,84.3732,83.6985,83.8133,54981000
2005-01-31,84.6746,84.8756,84.488,84.567,46747700
2005-02-01,84.8756,85.4714,84.7679,85.2201,45966400
2005-02-02,85.457,85.8374,85.3422,85.5001,50696200
2005-02-03,85.457,85.5288,85.1053,85.4068,46091800
2005-02-04,85.4139,86.4403,85.3996,86.1891,44730500
2005-02-07,86.2896,86.5049,86.103,86.3542,43851800
2005-02-08,86.2537,86.5982,86.1819,86.3973,36682000
2005-02-09,86.4332,86.4834,85.5934,85.8661,51370400
2005-02-10,85.8877,86.1461,85.6006,86.0958,43463600
2005-02-11,85.9235,86.8782,85.7441,86.7274,50273700
2005-02-14,86.627,86.749,86.4762,86.6844,28962200
2005-02-15,86.7059,87.1581,86.6198,86.9284,41381500
2005-02-16,86.7992,87.1796,86.6126,87.0504,47486500
2005-02-17,87.0145,87.0863,86.304,86.4188,54532700
2005-02-18,86.2537,86.4762,86.0599,86.4475,43097500
2005-02-22,86.0599,86.469,85.1125,85.2201,71080600
2005-02-23,85.3924,85.8231,85.1446,85.78,64594700
2005-02-24,85.5862,86.3614,85.3996,86.1676,64351300
2005-02-25,86.3255,87.3304,86.2609,87.1366,55847900
2005-02-28,86.9571,87.0648,86.1676,86.7562,64308700
2005-03-01,86.6916,87.2227,86.6916,87.194,43315300
2005-03-02,86.6772,87.517,86.5982,87.194,61326300
2005-03-03,87.3232,87.4955,86.6341,87.2155,58142600
2005-03-04,87.6031,88.163,87.4237,88.0625,50123600
2005-03-07,88.041,88.4644,87.8543,88.2276,39780300
2005-03-08,88.0481,88.285,87.6462,87.8687,42733900
2005-03-09,87.5457,87.7754,86.8351,87.1366,67208100
2005-03-10,86.993,87.2083,86.4188,86.9428,60108000
2005-03-11,87.072,87.3663,86.2465,86.347,50907100
2005-03-14,86.5695,86.8925,86.3327,86.8351,33749900
2005-03-15,87.1509,87.1796,86.225,86.3686,56374300
2005-03-16,85.9164,86.243,85.3422,85.3637,69280500
2005-03-17,85.6364,85.9451,85.3996,85.8446,60955500
2005-03-18,85.8287,86.1313,85.1369,85.3819,54416700
2005-03-21,85.5405,85.5909,84.8559,85.4396,59000400
2005-03-22,85.2955,85.699,84.3515,84.7262,81038700
2005-03-23,84.2686,84.8271,84.1281,84.5605,65484300
2005-03-24,84.6397,85.0216,84.3875,84.5749,46787000
2005-03-28,84.6109,84.9856,84.5461,84.7406,43129900
2005-03-29,84.4091,84.9568,83.7678,84.0417,66188700
2005-03-30,84.1497,85.1225,84.1425,84.9064,58176100
2005-03-31,85.1658,85.3603,84.9352,85.173,56774100
2005-04-01,85.4828,85.7422,84.2434,84.4019,87466000
2005-04-04,84.5677,84.928,84.1209,84.8055,67803300
2005-04-05,84.8703,85.3027,84.7911,85.1081,43956900
2005-04-06,85.3531,85.7134,85.1586,85.209,48175700
2005-04-07,85.3243,85.9152,85.2594,85.7927,44044400
2005-04-08,85.8719,85.9008,85.0865,85.1441,58671500
2005-04-11,85.2378,85.3315,84.9064,85.1153,39664900
2005-04-12,84.9496,85.7927,84.3587,85.6341,82039800
2005-04-13,85.4324,85.6053,84.4019,84.474,62568900
2005-04-14,84.6253,84.6686,83.6814,84.0489,88538600
2005-04-15,83.4003,83.7318,82.2618,82.723,121314600
2005-04-18,82.233,82.8383,82.1177,82.7878,94555700
2005-04-19,82.9392,83.249,82.7446,83.0761,59669100
2005-04-20,83.1553,83.3211,81.8583,82.1249,97314600
2005-04-21,82.7158,83.6165,82.4203,83.4796,78454600
2005-04-22,83.4003,83.948,82.3411,82.3699,83554400
2005-04-25,83.4868,83.948,83.3859,83.5372,49114000
2005-04-26,83.5589,84.1425,83.0256,83.4003,68493900
2005-04-27,82.7662,83.6381,82.4636,83.3211,79825200
2005-04-28,83.0617,83.3571,82.3987,82.6581,66211900
2005-04-29,82.9175,83.4364,82.1249,83.1914,95518200
2005-05-02,83.6381,83.8831,83.2418,83.7174,51259000
2005-05-03,83.6381,84.2002,83.3643,83.6237,75319500
2005-05-04,84.0561,84.8487,83.7894,84.7766,74547100
2005-05-05,84.7911,85.0288,84.1209,84.4524,92720300
2005-05-06,84.9784,85.0216,84.3947,84.6686,56919100
2005-05-09,84.4596,85.0505,84.3443,84.7766,40554800
2005-05-10,84.5677,84.6686,83.8687,83.9984,66846800
2005-05-11,84.2578,84.5965,83.4796,84.4596,88543100
2005-05-12,84.5389,84.7334,83.5517,83.6742,87637800
2005-05-13,83.8039,84.0344,82.723,83.3571,81463600
2005-05-16,83.3715,84.1858,83.3427,84.1281,46009700
2005-05-17,83.8975,84.8127,83.703,84.6325,56270300
2005-05-18,85.0793,85.8071,85.0361,85.6053,71625000
2005-05-19,85.7638,86.0449,85.5333,85.9296,58154200
2005-05-20,85.9944,86.0305,85.5621,85.8936,43760000
2005-05-23,85.9008,86.4988,85.8863,86.3547,48902900
2005-05-24,86.0665,86.3475,85.8936,86.2538,47956700
2005-05-25,86.0016,86.3763,85.6269,85.9512,44184700
2005-05-26,86.3187,86.6213,86.1962,86.4772,39246200
2005-05-27,86.5133,86.6502,86.3259,86.6141,22797000
2005-05-31,86.5277,86.5925,86.0593,86.261,36743700
2005-06-02,86.6358,87.0753,86.5421,86.9744,35899200
2005-06-03,86.8663,87.1113,86.2755,86.3259,54251200
2005-06-06,86.4844,86.6141,86.1458,86.5277,34865900
2005-06-07,86.751,87.3707,86.506,86.6285,62189300
2005-06-08,86.7799,86.8952,86.2322,86.3079,43511400
2005-06-09,86.2827,86.888,86.0665,86.7078,54148100
2005-06-10,86.8735,86.9384,86.1818,86.5709,35100000
2005-06-13,86.4268,87.2482,86.3331,86.7294,44623000
2005-06-14,86.7943,87.3347,86.7438,87.0249,31296100
2005-06-15,87.3059,87.3635,86.6358,87.0825,49051200
2005-06-16,87.2555,87.6518,87.133,87.5581,43581700
2005-06-17,87.5797,87.8391,87.3347,87.6806,47467800
2005-06-20,87.2482,87.7959,87.1474,87.7094,38642400
2005-06-21,87.5509,87.659,87.2122,87.378,36810400
2005-06-22,87.6806,87.8679,87.241,87.4356,36631200
