,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,continuation_fill_time,greatest_continuation_fill_time
3282,2018-02-26,254.5038,256.4223,253.8859,256.145,252.982,70871682,0.6015447739364908,True,1,255.77,True,False,1.3598991232577842,04:00:00,06:10:00
3285,2018-03-01,250.3348,251.9581,245.3449,247.4571,251.9628,155394997,-0.6461271267028251,True,2,249.07,True,False,-2.6265385207657608,00:25:00,04:40:00
3291,2018-03-09,254.2917,257.1971,253.9596,256.6621,252.4654,89823140,0.723386254116407,True,1,255.55,True,False,1.874197414774456,01:15:00,06:25:00
3297,2018-03-19,253.1339,254.1023,248.7538,249.5687,254.4582,93539632,-0.5204391133789337,True,2,251.86,True,False,-2.2417827368109937,01:15:00,05:10:00
3300,2018-03-22,248.0963,248.9853,243.8828,245.457,251.2078,124534949,-1.2386159983885765,True,2,246.84,True,False,-2.9159126428399076,01:25:00,06:15:00
3302,2018-03-26,242.7437,245.7997,240.2249,244.9477,240.3035,116510938,1.0154658587993832,True,1,243.95,True,True,2.287190989727568,04:50:00,06:25:00
3306,2018-04-02,243.1327,243.6698,235.8355,237.3542,244.494,154607881,-0.556782579531604,True,2,241.91,True,False,-3.5413956988719573,00:30:00,04:35:00
3307,2018-04-03,239.7248,241.9844,237.845,241.6093,237.3542,110898447,0.99876050223674,True,1,240.91,True,False,1.9507554532424547,05:30:00,05:40:00
3310,2018-04-06,243.9383,245.5033,238.9192,239.7897,246.3368,144120264,-0.9736669470416165,True,2,242.71,True,False,-3.0111619538777887,01:50:00,05:35:00
3311,2018-04-09,242.0399,245.2533,241.2713,243.429,239.7897,83874550,0.9384056112501822,True,1,243.24,True,False,2.278496532586673,01:00:00,04:25:00
3312,2018-04-10,244.7255,246.3646,243.5309,245.7997,243.429,93664733,0.5325988275842274,True,1,245.94,True,False,1.2059368440079012,02:05:00,05:50:00
3314,2018-04-12,245.6423,247.2536,245.457,247.161,244.3458,61960149,0.5306004850502889,True,1,246.86,True,False,1.1900347785801961,00:30:00,05:55:00
3317,2018-04-17,249.4112,250.8374,248.8741,250.6336,247.7444,52800381,0.6727901821393318,True,1,250.65,True,False,1.248464142882741,05:45:00,06:05:00
3337,2018-05-15,251.5041,251.5226,250.0595,250.3558,252.8932,71739852,-0.549283254749441,True,2,250.24,True,False,-1.1205125325631504,04:25:00,05:55:00
3346,2018-05-29,250.3188,251.1152,247.9574,248.3278,252.0412,95302505,-0.6833803362307406,True,2,249.06,True,False,-1.6202906508935826,02:15:00,05:30:00
3347,2018-05-30,250.4947,252.9117,250.4206,252.319,248.3278,59462005,0.8725966243006213,True,1,251.74,True,False,1.8459069020866774,01:30:00,05:10:00
3365,2018-06-25,254.3543,254.5182,250.3172,250.9312,256.0426,112805189,-0.6593824621371592,True,2,253.07,True,False,-2.236112271942239,00:25:00,05:25:00
3400,2018-08-15,262.6703,262.8192,260.6053,261.8331,264.2052,88744186,-0.5809499585927882,True,2,261.35,True,False,-1.3625394201173902,00:30:00,01:25:00
3401,2018-08-16,263.6191,265.1447,263.5819,264.4533,261.8331,59815747,0.6821139114955296,True,1,264.93,True,False,1.26477515638779,02:35:00,02:40:00
3440,2018-10-11,258.907,260.6076,252.6277,256.4495,262.3083,243262325,-1.2966802804181157,True,2,257.6,True,False,-3.6905427697102877,01:30:00,05:15:00
3448,2018-10-23,253.1791,256.8419,250.9925,256.1225,257.5801,124443348,-1.7085947245148247,True,2,251.89,True,False,-2.557495707160611,00:35:00,00:45:00
3451,2018-10-26,248.479,253.2258,245.087,247.5259,253.6743,176019181,-2.0480198427668768,True,2,247.21,True,False,-3.3851675159840786,00:30:00,01:25:00
3452,2018-10-29,251.1701,252.525,242.8071,245.1151,247.5259,143254852,1.472249974649111,True,1,252.41,True,True,2.0196270370090557,00:30:00,00:30:00
