Date,Close,High,Low,Open,Volume,gapped_percent,is_gap_fill,is_gapped,is_half_percent_continued,is_half_percent_continutation_target_price,max_gap_and_go_percentage,prev_close,up_or_down,continuation_fill_time,greatest_continuation_fill_time,gap_fill_time,greatest_gap_fill_time
2016-06-24,181.7819,188.6943,181.4217,182.2361,285669512,-3.0287663360435935,True,True,False,181.3,,187.928,2,,,01:45:00,01:45:00
2016-06-27,178.1284,180.4194,177.7793,180.4104,210252341,-0.754475555597118,False,True,True,179.5,-2.201869383035385,181.7819,2,00:10:00,01:30:00,,
2016-06-28,181.3591,181.8513,179.9898,180.312,143019298,1.225857302934295,False,True,True,181.2,2.0900092292975234,178.1284,1,05:20:00,06:25:00,,
2016-06-29,185.1178,185.1894,183.2116,183.319,117922408,1.0806736469247895,False,True,True,184.23,2.1119976885637355,181.3591,1,01:45:00,05:45:00,,
2016-07-05,186.3439,187.1135,185.8875,186.9972,97093945,-0.5307587967765165,False,True,True,186.06,-1.1210404532035512,187.995,2,04:05:00,04:15:00,,
2016-07-08,190.1832,190.568,188.6336,188.8766,111941463,0.9084488305671351,False,True,True,189.81,1.8120893575144799,187.1762,1,01:40:00,05:20:00,,
2016-09-09,191.8388,194.2283,190.8454,194.1746,193253580,-0.7501956376509619,False,True,True,193.2,-2.451872626727448,195.6423,2,01:05:00,06:25:00,,
2016-09-12,193.7092,194.0314,190.0042,190.0758,154591242,-0.9190007443749676,True,True,False,189.12,,191.8388,2,,,02:05:00,06:10:00
2016-09-13,190.9976,192.5457,190.1742,192.2684,163273946,-0.7437953385796833,False,True,True,191.3,-1.824900417739579,193.7092,2,00:30:00,03:30:00,,
2016-11-07,191.1079,191.7555,190.0555,190.1904,92559669,1.1915884369739445,False,True,True,191.13,2.02430636102641,187.9508,1,01:35:00,06:25:00,,
2016-11-09,195.0082,195.2724,190.9909,191.0179,217871846,-0.8960029552014107,True,True,False,190.05,,192.7449,2,,,00:20:00,05:50:00
2017-01-04,204.9761,205.1542,204.1228,204.1319,67389822,0.5862755928907758,False,True,True,205.15,1.0900153294954533,202.9421,1,06:10:00,06:10:00,,
2017-03-01,217.1695,217.4318,215.6676,215.6856,112486257,0.8417599721719858,False,True,True,216.76,1.6581792475589765,213.8852,1,02:20:00,04:50:00,,
2017-03-10,214.938,215.3509,214.0571,215.3057,64992855,0.506862340986998,True,True,False,216.38,,214.2199,1,,,03:35:00,03:35:00
2017-03-27,212.2486,212.5621,210.463,210.7538,77507854,-0.6127707575268807,True,True,False,209.69,,212.0532,2,,,02:10:00,06:10:00
2017-05-17,214.9702,216.8512,214.225,216.3605,141727409,-0.8205799113089743,False,True,True,215.27,-1.7994908104768004,218.1506,2,04:15:00,06:25:00,,
2017-08-29,223.7618,223.8531,221.826,221.9447,45186525,-0.5686025825452553,True,True,False,220.83,,223.2139,2,,,01:35:00,05:50:00
2017-09-11,227.4965,227.6426,226.4738,226.492,55933022,0.6615005271026705,False,True,True,227.62,1.1728701229669132,225.0036,1,03:10:00,03:10:00,,
2017-11-09,236.8936,237.1138,235.251,236.5082,86953110,-0.524907447208535,False,True,True,235.32,-1.0536844044445537,237.7562,2,03:00:00,03:00:00,,
2017-12-04,243.0832,244.8313,242.372,244.3817,79154971,0.8005665713031797,True,True,False,245.59,,242.4408,1,,,06:15:00,06:25:00
2018-01-16,255.8505,258.3408,254.7344,257.6583,93784746,0.6068626000130338,True,True,False,258.94,,256.1041,1,,,04:25:00,05:15:00
2018-02-05,247.5309,254.43,242.8638,252.2164,250690302,-1.029702892593602,False,True,True,250.94,-4.6996847047466925,254.8405,2,03:35:00,05:40:00,,
2018-02-06,246.9775,248.7576,238.6118,239.7555,314365990,-3.141183585564465,True,True,False,238.52,,247.5309,2,,,05:35:00,06:10:00
2018-02-08,241.7846,247.3464,237.5879,247.1988,205695698,-0.7995068844754087,False,True,True,245.95,-4.656346073354953,249.1911,2,00:15:00,06:25:00,,
2018-02-09,239.1928,243.1405,233.2806,240.5487,250142002,-0.5111574517152933,True,True,True,239.34,-3.517180167802258,241.7846,2,00:10:00,04:05:00,06:15:00,06:20:00
2018-02-12,245.8799,246.2765,241.5448,243.3434,122294493,1.7352529005889796,False,True,True,244.54,2.961502185684516,239.1928,1,00:10:00,05:50:00,,
2018-02-13,245.5478,245.9168,242.8638,243.4725,71711728,-0.9790958919374848,True,True,False,242.24,,245.8799,2,,,06:05:00,06:05:00
2018-02-14,248.61,249.0343,243.7769,243.7861,101095501,-0.7174570490959359,True,True,False,242.56,,245.5478,2,,,00:35:00,06:20:00
2018-02-15,251.2756,251.8106,247.8998,250.4824,94699780,0.7531475001005586,True,True,True,251.73,1.2873979325047182,248.61,1,06:25:00,06:25:00,01:25:00,01:30:00
2018-02-20,250.2656,252.4193,249.4955,250.9067,68750454,-0.6935827761596532,False,True,True,249.64,-1.2521219303005522,252.6591,2,05:50:00,05:50:00,,
2018-02-22,249.4217,251.8475,248.7023,250.0489,84861560,-0.55024730305243,True,True,True,248.79,-1.0858186932153506,251.4324,2,06:15:00,06:20:00,01:45:00,02:30:00
2018-02-23,252.982,253.3693,250.1872,250.6853,67508333,0.506611894634679,False,True,True,251.93,1.5827011041942312,249.4217,1,05:15:00,06:25:00,,
2018-02-26,256.145,256.4223,253.8859,254.5038,70871682,0.6015447739364908,False,True,True,255.77,1.3598991232577842,252.982,1,04:00:00,06:10:00,,
2018-03-01,247.4571,251.9581,245.3449,250.3348,155394997,-0.6461271267028251,False,True,True,249.07,-2.6265385207657608,251.9628,2,00:25:00,04:40:00,,
2018-03-02,247.3095,248.776,244.2565,245.1604,109731464,-0.928120470174421,True,True,False,243.92,,247.4571,2,,,03:15:00,06:25:00
2018-03-07,251.4462,251.9674,249.2188,249.4217,73757501,-0.8978414773598722,True,True,False,248.16,,251.6814,2,,,06:00:00,06:15:00
2018-03-09,256.6621,257.1971,253.9596,254.2917,89823140,0.723386254116407,False,True,True,255.55,1.874197414774456,252.4654,1,01:15:00,06:25:00,,
2018-03-19,249.5687,254.1023,248.7538,253.1339,93539632,-0.5204391133789337,False,True,True,251.86,-2.2417827368109937,254.4582,2,01:15:00,05:10:00,,
2018-03-22,245.457,248.9853,243.8828,248.0963,124534949,-1.2386159983885765,False,True,True,246.84,-2.9159126428399076,251.2078,2,01:25:00,06:15:00,,
2018-03-26,244.9477,245.7997,240.2249,242.7437,116510938,1.0154658587993832,True,True,True,243.95,2.287190989727568,240.3035,1,04:50:00,06:25:00,01:50:00,01:50:00
2018-03-27,241.2621,247.0406,239.6971,246.485,113076330,0.627603361860518,True,True,False,247.71,,244.9477,1,,,01:00:00,06:15:00
2018-04-02,237.3542,243.6698,235.8355,243.1327,154607881,-0.556782579531604,False,True,True,241.91,-3.5413956988719573,244.494,2,00:30:00,04:35:00,,
2018-04-03,241.6093,241.9844,237.845,239.7248,110898447,0.99876050223674,False,True,True,240.91,1.9507554532424547,237.3542,1,05:30:00,05:40:00,,
2018-04-04,244.1318,244.8042,237.6227,237.7616,103581956,-1.5925297577535316,True,True,False,236.55,,241.6093,2,,,02:40:00,06:25:00
2018-04-06,239.7897,245.5033,238.9192,243.9383,144120264,-0.9736669470416165,False,True,True,242.71,-3.0111619538777887,246.3368,2,01:50:00,05:35:00,,
2018-04-09,243.429,245.2533,241.2713,242.0399,83874550,0.9384056112501822,False,True,True,243.24,2.278496532586673,239.7897,1,01:00:00,04:25:00,,
2018-04-10,245.7997,246.3646,243.5309,244.7255,93664733,0.5325988275842274,False,True,True,245.94,1.2059368440079012,243.429,1,02:05:00,05:50:00,,
2018-04-11,244.3458,245.9941,243.9105,243.9846,78399485,-0.7384467922458819,True,True,False,242.76,,245.7997,2,,,02:30:00,02:40:00
2018-04-12,247.161,247.2536,245.457,245.6423,61960149,0.5306004850502889,False,True,True,246.86,1.1900347785801961,244.3458,1,00:30:00,05:55:00,,
2018-04-17,250.6336,250.8374,248.8741,249.4112,52800381,0.6727901821393318,False,True,True,250.65,1.248464142882741,247.7444,1,05:45:00,06:05:00,,
2018-04-24,243.0123,248.1576,241.9566,247.9296,102706789,0.525679643162244,True,True,False,249.16,,246.6331,1,,,00:50:00,05:05:00
2018-05-04,246.772,247.0584,241.8362,242.1788,67469471,-0.5627605734196003,True,True,False,240.96,,243.5494,2,,,00:35:00,05:15:00
2018-05-15,250.3558,251.5226,250.0595,251.5041,71739852,-0.549283254749441,False,True,True,250.24,-1.1205125325631504,252.8932,2,04:25:00,05:55:00,,
2018-05-23,252.6987,253.171,250.9485,251.1152,51717447,-0.6120832718215736,True,True,False,249.85,,252.6617,2,,,04:55:00,06:25:00
2018-05-29,248.3278,251.1152,247.9574,250.3188,95302505,-0.6833803362307406,False,True,True,249.06,-1.6202906508935826,252.0412,2,02:15:00,05:30:00,,
2018-05-30,252.319,252.9117,250.4206,250.4947,59462005,0.8725966243006213,False,True,True,251.74,1.8459069020866774,248.3278,1,01:30:00,05:10:00,,
2018-06-25,250.9312,254.5182,250.3172,254.3543,112805189,-0.6593824621371592,False,True,True,253.07,-2.236112271942239,256.0426,2,00:25:00,05:25:00,,
2018-08-02,262.5401,262.8564,259.6751,259.889,48420767,-0.5743898781286496,True,True,False,258.58,,261.3904,2,,,02:05:00,06:15:00
2018-08-15,261.8331,262.8192,260.6053,262.6703,88744186,-0.5809499585927882,False,True,True,261.35,-1.3625394201173902,264.2052,2,00:30:00,01:25:00,,
2018-08-16,264.4533,265.1447,263.5819,263.6191,59815747,0.6821139114955296,False,True,True,264.93,1.26477515638779,261.8331,1,02:35:00,02:40:00,,
