Date,Open,High,Low,Close,prev_close,next_day_open,Volume,gapped,up_down,continued
2015-01-21,174.868,176.7425,174.382,176.0656,,177.0289,108639794,1.0,1.0,1.0
2015-01-22,177.0289,178.9988,175.5883,178.8634,176.0656,178.591,135999735,0.0,0.0,0.0
2015-01-23,178.591,178.86,177.7405,178.2091,178.8634,177.6537,100180326,0.0,0.0,0.0
2015-01-26,177.6537,178.3914,176.9074,177.9531,178.2091,176.1437,75456471,1.0,2.0,1.0
2015-01-27,176.1437,177.1417,175.0762,176.1437,177.9531,177.1851,116255202,1.0,1.0,0.0
2015-01-28,177.1851,177.2892,173.4881,174.6076,176.1437,173.896,140353332,0.0,0.0,0.0
2015-01-29,173.896,175.5622,172.4207,175.2064,174.6076,174.0609,138139903,1.0,2.0,1.0
2015-01-30,174.0609,175.4494,172.8112,173.8005,175.2064,173.6096,162925022,0.0,0.0,0.0
2015-02-02,173.6096,175.3279,171.7091,174.0609,173.8005,176.1697,146723794,1.0,1.0,1.0
2015-02-03,176.1697,177.7752,175.7792,177.4107,174.0609,176.9681,111144777,0.0,0.0,0.0
2015-02-04,176.9681,178.2351,176.6123,178.1831,177.4107,177.7839,113302845,0.0,0.0,0.0
2015-02-05,177.7839,179.0335,177.7058,178.8166,178.1831,179.2592,84952146,0.0,0.0,0.0
2015-02-06,179.2592,179.8493,177.8359,177.9314,178.8166,177.7058,104705035,0.0,0.0,0.0
2015-02-09,177.7058,178.4608,177.1547,177.4888,177.9314,178.6691,76575052,1.0,1.0,1.0
2015-02-10,178.6691,179.7452,177.7492,179.6063,177.4888,179.3026,86969995,0.0,0.0,0.0
2015-02-11,179.3026,180.0316,178.6257,179.9101,179.6063,180.4134,76593631,0.0,0.0,0.0
2015-02-12,180.4134,181.368,180.2312,181.2292,179.9101,181.4374,81418807,0.0,0.0,0.0
2015-02-13,181.4374,182.1057,181.1684,181.88,181.2292,181.7238,77112737,0.0,0.0,0.0
2015-02-17,181.7238,182.5222,181.4635,182.2831,181.88,181.9495,64287144,0.0,0.0,0.0
2015-02-18,181.9495,182.4354,181.6718,182.3139,182.2831,181.7325,67658119,0.0,0.0,0.0
2015-02-19,181.7325,182.609,181.585,182.2619,182.3139,181.7932,80490317,0.0,0.0,0.0
2015-02-20,181.7932,183.3987,181.1424,183.1991,182.2619,183.0603,120041171,0.0,0.0,0.0
2015-02-23,183.0603,183.2946,182.6611,182.9041,183.1991,183.2165,58972349,0.0,0.0,0.0
2015-02-24,183.2165,184.0236,182.9041,183.9368,182.9041,183.6851,63582670,0.0,0.0,0.0
2015-02-25,183.6851,184.1885,183.3033,183.4421,183.9368,183.5636,65865025,0.0,0.0,0.0
2015-02-26,183.5636,183.7285,182.8086,183.3553,183.4421,183.338,62564678,0.0,0.0,0.0
2015-02-27,183.338,183.6157,182.7999,183.0863,183.3553,182.9214,81821305,0.0,0.0,0.0
2015-03-02,182.9214,184.0323,182.8694,183.824,183.0863,183.5202,72840834,0.0,0.0,0.0
2015-03-03,183.5202,184.027,182.3139,183.2686,183.824,182.5917,95882204,0.0,0.0,0.0
2015-03-04,182.5917,182.6698,181.4288,182.4471,183.2686,182.7826,98462310,0.0,0.0,0.0
2015-03-05,182.7826,182.9388,182.1143,182.7132,182.4471,181.7412,69040982,1.0,2.0,1.0
2015-03-06,181.7412,182.1925,179.7278,180.0576,182.7132,180.2832,149613364,0.0,0.0,0.0
2015-03-09,180.2832,181.1944,180.1444,181.0296,180.0576,179.3894,77432545,1.0,2.0,1.0
2015-03-10,179.3894,179.4761,177.8793,178.2265,181.0296,178.157,134665927,0.0,0.0,0.0
2015-03-11,178.157,178.3393,177.3847,177.5148,178.2265,178.131,96133688,0.0,0.0,0.0
2015-03-12,178.131,179.7929,178.0789,179.7105,177.5148,179.4414,82046056,0.0,0.0,0.0
2015-03-13,179.4414,179.5803,177.5409,178.3014,179.7105,179.3894,140391004,1.0,1.0,1.0
2015-03-16,179.3894,181.1077,179.3633,180.9384,178.3014,180.2398,118307096,0.0,0.0,0.0
2015-03-17,180.2398,180.8733,179.6237,180.7952,180.9384,179.9795,84827595,0.0,0.0,0.0
2015-03-18,179.9795,183.3467,179.3113,182.8694,180.7952,182.2098,201384476,0.0,0.0,0.0
2015-03-19,182.2098,182.6521,181.4027,181.8366,182.8694,182.8052,100537800,1.0,1.0,1.0
2015-03-20,182.8052,183.9472,182.7181,183.5723,181.8366,183.4241,141126752,0.0,0.0,0.0
2015-03-23,183.4241,184.0256,183.0667,183.5723,183.5723,182.9273,54060809,0.0,0.0,0.0
2015-03-24,182.9273,183.4067,181.9597,182.2299,183.5723,182.2473,65173888,0.0,0.0,0.0
2015-03-25,182.2473,182.4914,179.3184,179.7455,182.2299,178.6646,140871099,1.0,2.0,0.0
2015-03-26,178.6646,179.8937,177.9324,179.0743,179.7455,178.8128,133145629,0.0,0.0,0.0
